0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:19:12 +0530] "GET /Online_VCDSystem/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:19:14 +0530] "GET /Online_VCDSystem/forgotPassword.jsp HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:20:11 +0530] "POST /Online_VCDSystem/forgotPasswordAction.jsp HTTP/1.1" 500 2334
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:20:22 +0530] "GET /Online_VCDSystem/forgotPassword.jsp HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:21:02 +0530] "POST /Online_VCDSystem/forgotPasswordAction.jsp HTTP/1.1" 500 2334
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:25:36 +0530] "GET /Online_VCDSystem/forgotPassword.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:26:02 +0530] "POST /Online_VCDSystem/forgotPassword.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:28:27 +0530] "POST /Online_VCDSystem/forgotPassword.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:28:47 +0530] "POST /Online_VCDSystem/forgotPassword.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:29:15 +0530] "GET /Online_VCDSystem/forgotPassword.jsp HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:29:35 +0530] "POST /Online_VCDSystem/forgotPasswordAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:29:35 +0530] "GET /Online_VCDSystem/forgotPassword.jsp?msg=done HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Apr/2022:21:33:07 +0530] "GET /Online_VCDSystem/forgotPassword.jsp?msg=done HTTP/1.1" 200 1447
